0	0	1644.21
0	1	1555.1
0	2	1406.62
0	3	1255.83
0	4	1120.37
0	5	1004.3
0	6	906.87
0	7	825.805
0	8	758.545
0	9	702.706
0	10	656.219
0	11	617.35
0	12	584.671
0	13	557.021
0	14	533.46
0	15	513.235
0	16	495.75
0	17	480.531
0	18	467.207
0	19	455.495
0	20	445.305
0	21	436.452
0	22	428.74
0	23	422.003
0	24	416.104
0	25	410.927
0	26	406.375
0	27	402.366
0	28	398.828
0	29	395.703
0	30	392.937
0	31	390.487
0	32	388.315
0	33	386.386
0	34	384.673
0	35	383.149
0	36	381.793
0	37	380.586
0	38	379.511
0	39	378.552
0	40	377.698
0	41	376.935
0	42	376.254
0	43	375.647
0	44	375.104
0	45	374.619
0	46	374.186
0	47	373.799
0	48	373.452
0	49	373.143
0	50	372.866
1	0	3019.9
1	1	2814.55
1	2	2416.99
1	3	2034.1
1	4	1712.04
1	5	1453.33
1	6	1248.97
1	7	1088.32
1	8	961.929
1	9	862.113
1	10	782.852
1	11	719.483
1	12	668.397
1	13	626.799
1	14	592.53
1	15	563.933
1	16	539.747
1	17	519.029
1	18	501.083
1	19	485.398
1	20	471.596
1	21	459.393
1	22	448.581
1	23	439.162
1	24	430.992
1	25	423.884
1	26	417.682
1	27	412.256
1	28	407.5
1	29	403.321
1	30	399.643
1	31	396.4
1	32	393.536
1	33	391.003
1	34	388.761
1	35	386.773
1	36	385.009
1	37	383.442
1	38	382.049
1	39	380.81
1	40	379.707
1	41	378.725
1	42	377.849
1	43	377.069
1	44	376.373
1	45	375.751
1	46	375.196
1	47	374.701
1	48	374.259
1	49	373.863
1	50	373.51
2	0	8135.3
2	1	6859.5
2	2	5148.87
2	3	3821.28
2	4	2878.85
2	5	2220.31
2	6	1757.59
2	7	1428.52
2	8	1191.44
2	9	1018.65
2	10	891.507
2	11	797.237
2	12	726.829
2	13	673.728
2	14	633.024
2	15	600.998
2	16	574.886
2	17	552.75
2	18	533.336
2	19	515.908
2	20	500.075
2	21	485.637
2	22	472.488
2	23	460.558
2	24	449.778
2	25	440.107
2	26	431.686
2	27	424.387
2	28	418.04
2	29	412.505
2	30	407.666
2	31	403.426
2	32	399.702
2	33	396.425
2	34	393.537
2	35	390.986
2	36	388.732
2	37	386.736
2	38	384.967
2	39	383.398
2	40	382.004
2	41	380.766
2	42	379.664
2	43	378.684
2	44	377.81
2	45	377.032
2	46	376.338
2	47	375.719
2	48	375.167
2	49	374.674
2	50	374.234
3	0	58796.3
3	1	21858.2
3	2	11161.1
3	3	6474.47
3	4	4090.02
3	5	2756.43
3	6	1958.93
3	7	1458.35
3	8	1132.97
3	9	916.351
3	10	770.132
3	11	671.175
3	12	604.979
3	13	562.112
3	14	536.111
3	15	522.174
3	16	516.295
3	17	514.795
3	18	514.317
3	19	512.299
3	20	507.477
3	21	499.882
3	22	490.287
3	23	479.627
3	24	468.685
3	25	458
3	26	447.904
3	27	438.568
3	28	430.215
3	29	422.994
3	30	416.734
3	31	411.29
3	32	406.542
3	33	402.391
3	34	398.753
3	35	395.558
3	36	392.746
3	37	390.268
3	38	388.08
3	39	386.145
3	40	384.433
3	41	382.915
3	42	381.569
3	43	380.373
3	44	379.31
3	45	378.365
3	46	377.523
3	47	376.774
3	48	376.106
3	49	375.511
3	50	374.98
4	0	788.543
4	1	3549.99
4	2	14041.1
4	3	6951.36
4	4	3926.45
4	5	2419.38
4	6	1595.94
4	7	1118.15
4	8	829.355
4	9	649.97
4	10	536.864
4	11	465.515
4	12	421.472
4	13	395.989
4	14	383.899
4	15	383.479
4	16	390.723
4	17	402.407
4	18	416.471
4	19	431.597
4	20	446.945
4	21	461.572
