6	38	335.507
6	39	332.923
6	40	330.684
6	41	328.741
6	42	327.053
6	43	325.582
6	44	324.298
6	45	323.176
6	46	322.193
6	47	321.33
6	48	320.571
6	49	319.903
6	50	319.314
7	0	514.791
7	1	37404.3
7	2	12206.1
7	3	5166.78
7	4	2532.11
7	5	1390.12
7	6	846.755
7	7	571.739
7	8	427.142
7	9	349.908
7	10	309.123
7	11	288.779
7	12	280.216
7	13	278.595
7	14	281.144
7	15	286.253
7	16	292.983
7	17	300.787
7	18	309.353
7	19	318.495
7	20	328.077
7	21	337.955
7	22	347.913
7	23	357.605
7	24	366.512
7	25	373.942
7	26	379.114
7	27	381.378
7	28	380.506
7	29	376.9
7	30	371.467
7	31	365.216
7	32	358.918
7	33	353.025
7	34	347.742
7	35	343.121
7	36	339.137
7	37	335.729
7	38	332.825
7	39	330.352
7	40	328.247
7	41	326.451
7	42	324.916
7	43	323.601
7	44	322.472
7	45	321.498
7	46	320.657
7	47	319.929
7	48	319.296
7	49	318.745
7	50	318.264
8	0	24347.2
8	1	4897.85
8	2	13989.2
8	3	5653.58
8	4	2681.69
8	5	1433.56
8	6	853.545
8	7	566.194
8	8	418.594
8	9	342.051
8	10	303.333
8	11	285.422
8	12	279.203
8	13	279.624
8	14	283.816
8	15	290.117
8	16	297.558
8	17	305.568
8	18	313.811
8	19	322.077
8	20	330.218
8	21	338.104
8	22	345.575
8	23	352.42
8	24	358.354
8	25	363.021
8	26	366.029
8	27	367.037
8	28	365.888
8	29	362.736
8	30	358.083
8	31	352.637
8	32	347.072
8	33	341.856
8	34	337.234
8	35	333.28
8	36	329.973
8	37	327.242
8	38	325.006
8	39	323.183
8	40	321.698
8	41	320.489
8	42	319.503
8	43	318.697
8	44	318.037
8	45	317.495
8	46	317.048
8	47	316.677
8	48	316.37
8	49	316.113
8	50	315.899
9	0	19372.9
9	1	60890.9
9	2	17778
9	3	7041.83
9	4	3283.58
9	5	1715.11
9	6	987.344
9	7	626.772
9	8	441.508
9	9	345.433
9	10	296.842
9	11	274.321
9	12	266.365
9	13	266.572
9	14	271.282
9	15	278.359
9	16	286.536
9	17	295.054
9	18	303.446
9	19	311.418
9	20	318.765
9	21	325.332
9	22	330.973
9	23	335.544
9	24	338.893
9	25	340.877
9	26	341.384
9	27	340.385
9	28	337.984
9	29	334.462
9	30	330.261
9	31	325.89
9	32	321.796
9	33	318.269
9	34	315.429
9	35	313.269
9	36	311.712
9	37	310.655
9	38	309.993
9	39	309.632
9	40	309.494
9	41	309.516
9	42	309.65
9	43	309.859
9	44	310.115
9	45	310.397
9	46	310.691
9	47	310.986
9	48	311.275
9	49	311.554
9	50	311.818
10	0	1462120
10	1	90892.7
10	2	25524.5
10	3	10143.9
10	4	4771.24
10	5	2492.99
10	6	1409.8
10	7	856.491
10	8	561.215
10	9	400.239
10	10	312.583
10	11	266.318
10	12	243.915
10	13	235.389
10	14	234.877
10	15	238.857
10	16	245.176
10	17	252.494
10	18	259.969
10	19	267.067
10	20	273.442
10	21	278.874
10	22	283.222
10	23	286.406
10	24	288.4
10	25	289.234
10	26	289.011
10	27	287.912
10	28	286.21
10	29	284.248
10	30	282.397
10	31	280.974
10	32	280.188
10	33	280.107
10	34	280.687
10	35	281.815
10	36	283.352
10	37	285.162
10	38	287.13
10	39	289.161
10	40	291.186
10	41	293.156
10	42	295.039
10	43	296.813
10	44	298.469
10	45	300.001
10	46	301.411
10	47	302.702
10	48	303.879
10	49	304.949
10	50	305.919
11	0	495.699
11	1	142261
11	2	11.1092
11	3	16477.4
11	4	7958.19
11	5	4272.84
11	6	2465.58
11	7	1503.75
11	8	962.813
11	9	647.167
11	10	458.725
11	11	345.027
11	12	276.556
11	13	236.015
11	14	212.933
11	15	200.802
11	16	195.491
11	17	194.334
11	18	195.594
11	19	198.131
11	20	201.201
11	21	204.331
11	22	207.233
11	23	209.762
11	24	211.878
11	25	213.631
11	26	215.146
11	27	216.606
11	28	218.231
11	29	220.24
11	30	222.81
11	31	226.038
11	32	229.923
11	33	234.379
11	34	239.264
11	35	244.411
11	36	249.66
11	37	254.873
11	38	259.941
11	39	264.786
11	40	269.355
11	41	273.618
11	42	277.563
11	43	281.188
11	44	284.503
11	45	287.52
11	46	290.258
11	47	292.736
11	48	294.974
11	49	296.991
11	50	298.808
12	0	1808180
12	1	144975
12	2	47603.5
12	3	22143.7
12	4	11871.2
12	5	6870.79
12	6	4204.11
12	7	2692.81
12	8	1793.08
12	9	1235.88
12	10	879.94
12	11	646.991
12	12	491.675
12	13	386.664
12	14	314.951
12	15	265.661
12	16	231.676
12	17	208.248
12	18	192.166
12	19	181.23
12	20	173.929
12	21	169.222
12	22	166.404
12	23	165.005
12	24	164.732
12	25	165.42
12	26	166.991
12	27	169.429
12	28	172.739
12	29	176.927
12	30	181.967
12	31	187.788
12	32	194.271
12	33	201.263
12	34	208.587
12	35	216.067
12	36	223.54
12	37	230.868
12	38	237.94
12	39	244.676
12	40	251.021
12	41	256.944
12	42	262.432
12	43	267.485
12	44	272.113
12	45	276.336
12	46	280.175
12	47	283.655
12	48	286.804
12	49	289.646
12	50	292.209
13	0	1734400
13	1	142366
13	2	45600.4
13	3	21209.5
13	4	12025.8
13	5	7508.16
13	6	4984.14
13	7	3454.23
13	8	2474.9
13	9	1823.3
13	10	1376.95
13	11	1064.04
13	12	840.417
13	13	677.957
13	14	558.235
13	15	468.889
13	16	401.46
13	17	350.064
13	18	310.548
13	19	279.944
13	20	256.114
13	21	237.508
13	22	223
13	23	211.771
